,id,some_number
0,2319,0
1,2326,15
2,1966,4
3,2326,15
4,2319,0
5,2319,0
6,2319,0
7,2319,0
8,2319,3
9,1966,4
10,1916,90
11,2326,0
12,2319,3
13,2734,0
14,2326,15
15,2326,15
16,2326,27
17,2326,15
18,2319,3
19,2319,0
20,1585,9
21,1916,0
22,2536,0
23,2319,9
24,2319,0
25,2319,0
26,772,9
27,2273,20
28,1572,15
29,2319,0
30,1916,116
31,2273,83
32,1916,24
33,2319,0
34,2326,15
35,2326,15
36,2326,27
37,1585,9
38,2319,24
39,2319,0
40,2326,15
41,2205,15
42,1585,9
43,2319,24
44,1908,22
45,1913,0
46,2319,3
47,2326,15
48,2319,107
49,2319,3
50,2326,15
51,2326,0
52,1908,72
53,2326,15
54,2326,15
55,2326,15
56,1916,0
57,2326,15
58,2319,3
59,2273,36
60,1908,9
61,1585,9
62,2319,16
63,380,192
64,2734,0
65,2097,9
66,380,392
67,2734,0
68,2319,24
69,2319,0
70,2326,15
71,1916,0
72,1916,3
73,2326,15
74,1585,14
75,2326,15
76,1916,0
77,1966,4
78,2319,3
79,1916,0
80,1908,10
81,1916,17
82,2326,15
83,2319,24
84,2319,24
85,1999,0
86,2319,3
87,2319,0
88,2326,15
89,2326,22
90,2319,24
91,2319,24
92,1916,0
93,2326,15
94,2319,9
95,2273,10
96,1585,14
97,1585,14
98,2364,161
99,2326,15
100,2326,15
101,2734,0
102,2319,9
103,2319,0
104,2319,9
105,1908,217
106,1916,24
107,2326,15
108,1999,0
109,2319,0
110,2319,24
111,1908,301
112,2243,15
113,1572,10
114,1908,10
115,953,0
116,1966,233
117,2326,15
118,1585,9
119,1585,9
120,2319,0
121,2319,9
122,953,4
123,2319,9
124,1585,0
125,2326,0
126,1572,17
127,1916,0
128,2319,3
129,1913,0
130,2326,15
131,2319,0
132,2326,15
133,1913,0
134,2319,3
135,2734,0
136,2097,75
137,2837,17
138,2195,72
139,1966,4
140,2319,9
141,72,51
142,2734,0
143,2326,15
144,1966,191
145,953,0
146,953,0
147,2326,15
148,1966,4
149,2319,0
150,1572,15
151,2273,9
152,72,6
153,2319,3
154,1966,4
155,2319,3
156,1908,15
157,1916,0
158,2319,0
159,1585,4
160,2319,0
161,953,0
162,1585,14
163,2326,15
164,2319,24
165,1966,61
166,2347,0
167,380,3
168,2326,15
169,2319,9
170,1572,15
171,1585,14
172,2319,3
173,2319,9
174,1913,0
175,2273,22
176,2319,3
177,1585,22
178,2319,3
179,2326,15
180,2319,3
181,1916,87
182,2326,15
183,2205,0
184,2319,24
185,2273,10
186,2319,3
187,2326,0
188,2553,28
189,1966,120
190,1913,0
191,2273,10
192,380,0
193,1913,0
194,1999,4
195,1913,0
196,2326,0
197,2273,3
198,2319,0
199,1966,4
200,2319,3
201,2326,15
202,2319,9
203,2319,9
204,2097,39
205,2273,103
206,2273,92
207,2326,15
208,2326,15
209,953,0
210,2326,15
211,2734,0
212,1908,10
213,2097,10
214,2273,20
215,1572,15
216,2326,15
217,2553,27
218,2273,9
219,1913,0
220,2326,15
221,2326,15
222,1572,17
223,2326,15
224,2273,41
225,2326,17
226,1908,15
227,2319,3
228,2319,3
229,2273,41
230,1572,15
231,1908,72
232,2319,3
233,2273,20
234,2326,15
235,2319,0
236,72,6
237,2319,3
238,1916,97
239,2326,0
240,2273,3
241,2326,15
242,953,0
243,1913,0
244,2326,27
245,1913,0
246,1773,24
247,1913,0
248,2273,3
249,2273,9
250,2273,3
251,2319,9
252,2326,15
253,1916,24
254,2319,0
255,2319,3
256,1913,0
257,2319,0
258,2326,27
259,953,0
260,1773,24
261,953,0
262,1913,0
263,2326,15
264,2326,15
265,2326,62
266,1908,56
267,2326,15
268,2097,39
269,1585,9
270,2326,15
271,2319,0
272,2536,0
273,2319,60
274,1773,19
275,380,22
276,1585,14
277,1572,17
278,2319,0
279,2319,16
280,1966,4
281,1913,0
282,1913,10
283,2326,15
284,2326,15
285,2319,0
286,1966,191
287,2273,20
288,2319,0
289,2536,0
290,1913,10
291,2273,22
292,2599,15
293,1572,15
294,380,0
295,2097,106
296,1572,15
297,1908,17
298,1966,4
299,2326,10
300,1999,0
301,1916,24
302,1916,205
303,1908,9
304,2326,15
305,1916,20
306,2319,0
307,2319,9
308,1908,9
309,1916,0
310,1966,0
